"abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
1.5,505.24284429949,"C31H38O4S","O4S","CHOS",31,38,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,506.25012075165,505.24180397924,2.05495309057043,2.05,505,504.678685625916,0.321314374084466,13,0.129032258064516,1.2258064516129,9,38.9422369562615,36,0.9,64,0.6,0,0,0,0,0,0,"Unambiguous"
2.6,255.141744590497,"C14H24O2S","O2S","CHOS",14,24,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.149021042657,255.14242428804,-2.65352387443774,2.65,255,254.856851039157,0.143148960842979,3,0.142857142857143,1.71428571428571,1,19.7038231338615,17,0.9,30,0.8,0,0,0,0,0,0,"Unambiguous"
7,587.305458885677,"C33H48O7S","O7S","CHOS",33,48,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,588.312735337837,587.30479816514,1.12307706027521,1.12,587,586.649668363542,0.350331636457668,10,0.212121212121212,1.45454545454545,3,45.2547749705615,41,0.9,68,0.7,0,0,0,0,589.302674594967,0,"Unambiguous"
1.4,607.27458596991,"C35H44O7S","O7S","CHOS",35,44,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,608.28186242207,607.27349803754,1.78853330511925,1.79,607,606.596497742077,0.403502257923151,14,0.2,1.25714285714286,7,46.7908288069,43,0.9,72,0.6,0,0,0,0,0,0,"Unambiguous"
2.7,255.106464529021,"C13H20O3S","O3S","CHOS",13,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.113740981181,255.10603878274,1.66233283404191,1.66,255,254.821610371713,0.178389628287476,4,0.230769230769231,1.53846153846154,1,19.7010242488385,17,0.9,28,0.7,0,0,0,0,0,0,"Unambiguous"
12.3,627.278733154252,"C38H44O6S","O6S","CHOS",38,44,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,628.286009606412,627.27858341524,0.238329374905171,0.24,627,626.578308116964,0.421691883035919,17,0.157894736842105,1.15789473684211,11,48.3296815282615,45,0.9,78,0.6,0,0,0,0,0,0,"Unambiguous"
5.6,625.263527393536,"C38H42O6S","O6S","CHOS",38,42,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,626.270803845696,625.26293335144,0.948538702712974,0.95,625,624.565352553003,0.434647446996678,18,0.157894736842105,1.10526315789474,12,48.1746315233538,45,0.9,78,0.5,0,0,0,0,0,0,"Unambiguous"
3.7,597.36216763403,"C36H54O5S","O5S","CHOS",36,54,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,598.36944408619,597.36191911194,0.41533218674132,0.42,597,596.695147701064,0.304852298936112,10,0.138888888888889,1.5,5,46.0283996587769,42,0.9,74,0.7,0,0,0,0,0,0,"Unambiguous"
6,559.310208857774,"C32H48O6S","O6S","CHOS",32,48,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,560.317485309934,559.30988354284,0.580590367044079,0.58,559,558.685678081919,0.314321918081419,9,0.1875,1.5,3,43.1013199996154,39,0.9,66,0.7,0,0,0,0,0,0,"Unambiguous"
3.5,255.06980446514,"C12H16O4S","O4S","CHOS",12,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.0770809173,255.06965327744,0.590399185054692,0.59,255,254.784991242786,0.215008757213695,5,0.333333333333333,1.33333333333333,1,19.6982253638154,17,0.9,26,0.6,0,0,0,0,0,0,"Unambiguous"
