"abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
1.8,314.153474452729,"C14H25N3O3S","N3O3S","CHNOS",14,25,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,315.160750904889,314.15438596444,-2.89221201654485,2.89,314,313.802687876638,0.197312123361598,4,0.214285714285714,1.78571428571429,1,24.2432048012769,21,0.9,30,0.8,0,0,0,0,0,0,"Unambiguous"
52.3,506.092537293669,"C14H25N3O15S","N3O15S","CHNOS",14,25,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,507.099813745829,506.09336143204,-1.62519951508494,1.63,506,505.527429845306,0.472570154694267,4,1.07142857142857,1.78571428571429,-11,39.0077413757077,33,0.8,30,0.8,0,0,0,0,0,0,"Unambiguous"
4.2,255.116546341115,"C12H20N2O2S","N2O2S","CHNOS",12,20,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.123822793275,255.11727217524,-2.83391883182881,2.83,255,254.831680926365,0.168319073634507,4,0.166666666666667,1.66666666666667,2,19.7018883559538,17,0.9,26,0.8,0,0,0,0,0,0,"Unambiguous"
2,255.142566403978,"C14H24O2S","O2S","CHOS",14,24,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.149842856138,255.14242428804,0.554815635169556,0.55,255,254.857671934993,0.142328065006723,3,0.142857142857143,1.71428571428571,1,19.7038231338615,17,0.9,30,0.8,0,0,0,0,0,0,"Unambiguous"
3.1,255.117756344039,"C12H20N2O2S","N2O2S","CHNOS",12,20,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.125032796199,255.11727217524,1.89036109950448,1.89,255,254.832889578189,0.167110421811287,4,0.166666666666667,1.66666666666667,2,19.7018883559538,17,0.9,26,0.8,0,0,0,0,0,0,"Unambiguous"
4.4,255.10667631727,"C13H20O3S","O3S","CHOS",13,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256.11395276943,255.10603878274,2.48926121848619,2.49,255,254.821821923477,0.178178076522869,4,0.230769230769231,1.53846153846154,1,19.7010242488385,17,0.9,28,0.7,0,0,0,0,0,0,"Unambiguous"
2.7,199.115830106236,"C11H20OS","OS","CHOS",11,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200.123106558396,199.11620953814,-1.89599247293758,1.9,199,198.893495591522,0.106504408478486,2,0.0909090909090909,1.81818181818182,1,15.3941143069462,13,0.8,24,0.8,0,0,0,0,0,0,"Unambiguous"
1.1,253.102251474741,"C12H18N2O2S","N2O2S","CHNOS",12,18,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254.109527926901,253.10162211144,2.47674026880797,2.48,253,252.819635239633,0.180364760366672,5,0.166666666666667,1.5,3,19.5468383510462,17,0.9,26,0.7,0,0,0,0,0,0,"Unambiguous"
1.6,253.075541410211,"C9H18O6S","O6S","CHOS",9,18,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254.082817862371,253.07513258584,1.60902013986851,1.61,253,252.792954999801,0.2070450001994,1,0.666666666666667,2,-5,19.5448006952308,16,0.8,20,0.9,0,0,0,0,0,0,"Unambiguous"
2.6,267.10576600129,"C14H20O3S","O3S","CHOS",14,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268.11304245345,267.10603878274,-1.01741208547862,1.02,267,266.807513316761,0.192486683238769,5,0.214285714285714,1.42857142857143,2,20.6241011719154,18,0.9,30,0.7,0,0,0,0,0,0,"Unambiguous"
