"abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
11.3,260.050505060915,"C12H11N3O2S","N3O2S","CHNOS",12,11,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,261.057781513075,260.04992089554,2.23768612178447,2.24,260,259.76013034378,0.239869656219639,9,0.166666666666667,0.916666666666667,7,20.0813228729,18,0.9,26,0.4,0,0,0,0,0,0,"Unambiguous"
5.9,260.086905194598,"C13H15N3OS","N3OS","CHNOS",13,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,261.094181646758,260.08630640084,2.29340138466799,2.29,260,259.796489832749,0.203510167251068,8,0.0769230769230769,1.15384615384615,7,20.0841217579231,18,0.9,28,0.5,0,0,0,0,0,0,"Unambiguous"
16.9,262.029925176631,"C11H9N3O3S","N3O3S","CHNOS",11,9,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,263.037201628791,262.02918545404,2.8122356327646,2.81,262,261.737340221312,0.262659778687691,9,0.272727272727273,0.818181818181818,6,20.2335739927846,18,0.9,24,0.4,0,0,0,0,0,0,"Unambiguous"
17,262.102725419783,"C13H17N3OS","N3OS","CHNOS",13,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,263.110001871943,262.10195646464,2.922561428906,2.92,262,261.810059175062,0.189940824937651,7,0.0769230769230769,1.30769230769231,6,20.2391717628308,18,0.9,28,0.6,0,0,0,0,0,0,"Unambiguous"
50.7,264.081952030375,"C12H15N3O2S","N3O2S","CHNOS",12,15,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,265.089228482535,264.08122102314,2.75758935592276,2.76,264,263.787075763539,0.212924236460822,7,0.166666666666667,1.25,5,20.3914228827154,18,0.9,26,0.6,0,0,0,0,0,0,"Unambiguous"
36.1,264.118312151817,"C13H19N3OS","N3OS","CHNOS",13,19,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,265.125588603977,264.11760652844,2.66146840414745,2.66,264,263.823395284945,0.176604715054907,6,0.0769230769230769,1.46153846153846,5,20.3942217677385,18,0.9,28,0.7,0,0,0,0,0,0,"Unambiguous"
92.8,266.097668762843,"C12H17N3O2S","N3O2S","CHNOS",12,17,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,267.104945215003,266.09687108694,2.98637639449546,2.99,266,265.800541728696,0.199458271303513,6,0.166666666666667,1.41666666666667,4,20.5464728876231,18,0.9,26,0.7,0,0,0,0,0,0,"Unambiguous"
15.9,266.134048884352,"C13H21N3OS","N3OS","CHNOS",13,21,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,267.141325336512,266.13325659224,2.96581635692644,2.97,266,265.836881227837,0.163118772163102,5,0.0769230769230769,1.61538461538462,4,20.5492717726462,18,0.9,28,0.8,0,0,0,0,0,0,"Unambiguous"
30.1,268.076895373435,"C11H15N3O3S","N3O3S","CHNOS",11,15,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269.084171825595,268.07613564544,2.82338418455319,2.82,268,267.777558317173,0.222441682826684,6,0.272727272727273,1.36363636363636,3,20.6987240075077,18,0.9,24,0.6,0,0,0,0,0,0,"Unambiguous"
47.7,268.113255494877,"C12H19N3O2S","N3O2S","CHNOS",12,19,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269.120531947037,268.11252115074,2.72868120482506,2.73,268,267.813877838579,0.186122161420769,5,0.166666666666667,1.58333333333333,3,20.7015228925308,18,0.9,26,0.7,0,0,0,0,0,0,"Unambiguous"
