Experiment,Enrichment,DOMSource,Replicate,Time_hrs,DayOfExperiment,SamplePoint,RQ_RER,Temp_C,O2_perc,O2Rate_ugmin,O2Accum_ug,CO2_perc,CO2Rate_ugmin,CO2Accum_ug,Pressure_mmhg,Status,Restriction_mmHg,Leakage_mLmin,Volume_mL
DOM Crossing Experiment 1,CHLOR,CHLOR,1,2.66,0,initial,0,20.02,20.8852,0,0,0.04,0,0,801.59,R,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,2.56,0,initial,0,20.02,20.891,0,0,0.0424,0,0,801.58,R,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,2.46,0,initial,0,20.07,20.8936,0,0,0.0395,0,0,801.59,R,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,5.83,0,initial,0.328,20.02,20.7717,-3.185,-604.514,0.0716,1.043,198.056,801.61,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,5.73,0,initial,0.396,20.02,20.7774,-3.212,-609.513,0.0781,1.271,241.265,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,5.63,0,initial,0.324,20.02,20.7747,-3.616,-686.241,0.0717,1.173,222.623,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,8.99,0,initial,0.516,20.75,20.7006,-2.662,-1109.651,0.1055,1.374,458.797,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,8.89,0,initial,0.609,20.75,20.7089,-2.549,-1093.285,0.1137,1.554,536.12,801.57,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,8.79,0,initial,0.524,20.75,20.7044,-2.949,-1245.948,0.1054,1.547,516.133,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,12.15,0,initial,0.633,21.48,20.6769,-1.845,-1459.71,0.1247,1.168,680.391,801.55,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,12.05,0,initial,0.732,21.48,20.6832,-1.837,-1441.889,0.1342,1.345,791.344,801.61,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,11.95,0,initial,0.725,21.48,20.6916,-1.802,-1587.789,0.1228,1.306,764.03,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,15.31,0,initial,0.809,21.23,20.6869,-1.25,-1696.863,0.1346,1.011,872.143,801.57,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,15.21,0,initial,0.929,21.24,20.6913,-1.24,-1677.081,0.1444,1.152,1009.9,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,15.11,0,initial,0.841,21.24,20.7041,-1.343,-1842.474,0.1308,1.129,978.241,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,18.48,0,initial,0.751,20.99,20.6913,-1.2,-1924.521,0.1392,0.901,1043.029,801.54,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,18.38,0,initial,0.794,20.99,20.6928,-1.268,-1917.732,0.1484,1.007,1200.969,801.55,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,18.28,0,initial,0.72,20.99,20.7064,-1.437,-2115.201,0.1344,1.035,1174.623,801.57,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,21.64,0,initial,0.715,21.02,20.6897,-1.264,-2164.309,0.1435,0.904,1214.533,801.59,NA,0,0,251
