CitationYear,Citation,evaluationMetric,System,PageSource,Site,longitude,latitude,Sample,incubationTime_d,DOCf_mgL,DOCi_mgL,addedNutrients,TDNi_mgNL,DINi_mgNL,SRPi_mgPL,TDP_mgPL
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.4484,42.12556,"Fluvia river network, A_pool",0.25,3.84,3.9,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.4484,42.12556,"Fluvia river network, A_pool",0.75,4.02,3.9,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.4484,42.12556,"Fluvia river network, A_pool",2,4.02,3.9,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.4484,42.12556,"Fluvia river network, A_pool",4,3.68,3.9,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.4484,42.12556,"Fluvia river network, A_pool",7,3.55,3.9,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.4484,42.12556,"Fluvia river network, A_pool",14,3.29,3.9,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.4484,42.12556,"Fluvia river network, A_pool",28,3.21,3.9,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.4484,42.12556,"Fluvia river network, A_pool",65,2.88,3.9,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.44992,42.12949,"Fluvia river network, B_pool",0.25,4.14,4.2,No,1.5,NA,NA,NA
2017,"Catalán, N., Casas_Ruiz, J. P., Von Schiller, D., Proia, L., Obrador, B., Zwirnmann, E., & Marcé, R. (2017). Biodegradation kinetics of dissolved organic matter chromatographic fractions in an intermittent river. Journal of Geophysical Research: Biogeosciences, 122(1), 131–144. https://doi.org/10.1002/2016JG003512",k reactivity continuum model,River,135,"Fluvia river network, northeast of the Iberian Peninsula, Spain and France",2.44992,42.12949,"Fluvia river network, B_pool",0.75,3.96,4.2,No,1.5,NA,NA,NA
